time_tag,proton_flux_P1,proton_flux_P10,proton_flux_P2A,proton_flux_P2B,proton_flux_P3,proton_flux_P4,proton_flux_P5,proton_flux_P6,proton_flux_P7,proton_flux_P8A,proton_flux_P8B,proton_flux_P8C,proton_flux_P9
2026-06-25 04:00:00+00:00,0.0548905283212661,8.275277707525674e-08,0.0006157769239507,0.0001794589043129,1.1021899808838498e-05,,1.2126638466725126e-05,,4.6324126401486875e-07,6.804918939451454e-07,5.993512104396359e-07,6.501360303445836e-07,3.6936128822162573e-07
2026-06-25 04:05:00+00:00,0.0526230782270431,8.275232943333323e-08,0.0005365096149034,0.0002085753076244,1.0957457561744375e-05,5.944770236965269e-06,7.249358077388024e-06,6.80354844462272e-07,9.2640055981974e-07,3.402443269351352e-07,4.994566324967309e-07,9.10186599867302e-07,3.231916139156965e-07
2026-06-25 04:10:00+00:00,0.0346574708819389,8.275276286440204e-08,0.0003056774730794,2.962620055768639e-05,,5.926267931499751e-06,1.6858608432812616e-05,,9.263173410545278e-07,4.536601352356229e-07,8.990207334136358e-07,9.101881346396112e-07,1.385104724249686e-07
2026-06-25 04:15:00+00:00,0.0266603045165538,2.0687959789711385e-08,0.0002285405207658,2.9589093173854053e-05,,5.905258603888797e-06,7.20223806638387e-06,1.3604609421236091e-06,2.3155391204454645e-07,1.1341417405219545e-07,1.198689687953447e-06,6.501350071630441e-07,2.3084956524144218e-07
2026-06-25 04:20:00+00:00,0.0202441066503524,8.275183205341818e-08,0.0003042144235223,5.906397927901708e-05,,,4.795464519702364e-06,6.801811878176522e-07,6.946233384041989e-07,4.53657037269295e-07,1.0987989753630243e-06,5.201040949032176e-07,4.616993365402777e-08
2026-06-25 04:25:00+00:00,0.0145160984247922,2.068781057573688e-08,7.605535938637331e-05,,1.0861108421522658e-05,1.7676042261882685e-05,9.57897282205522e-06,,4.6308909418257837e-07,2.2682417011310465e-07,6.992362955315912e-07,1.0402105772300274e-06,3.23188544371078e-07
2026-06-25 04:30:00+00:00,0.0114596765488386,6.206407476838649e-08,7.590943278046325e-05,,,1.7654987459536642e-05,7.180505235737655e-06,,9.260577940040092e-07,1.1341354166916064e-07,7.991254165062855e-07,3.900755984886928e-07,3.231873790809914e-07
2026-06-25 04:35:00+00:00,0.010775214061141,1.2412735372890893e-07,7.592659676447511e-05,2.948967448901385e-05,,5.8866462495643646e-06,1.436355978512438e-05,,1.157591782430245e-06,4.536529729648464e-07,8.990182891466247e-07,3.9007829855108877e-07,2.3084923839178373e-07
2026-06-25 04:40:00+00:00,0.0120798842981457,1.0343911327481693e-07,7.595240458613262e-05,2.9498705771402456e-05,,5.887783117941581e-06,2.3948418856889475e-06,,9.260833735424968e-07,3.402406036911998e-07,9.989030331780668e-07,5.201042085900554e-07,3.231892549138138e-07
2026-06-25 04:45:00+00:00,0.0090043805539608,1.241281779584824e-07,,,1.085035182768479e-05,5.887793577130651e-06,1.4366016330313869e-05,1.3601768387161428e-06,2.315120468665555e-07,1.1341307981638239e-07,1.298581537412247e-06,9.10180858681997e-07,3.693575081342715e-07
