time_tag,xray_flux_0.05_0.4nm,xray_flux_0.1_0.8nm
2026-06-25 03:55:00+00:00,2.0692686675261033e-08,1.3885867247154238e-06
2026-06-25 03:56:00+00:00,1.6880251862971818e-08,1.34605784296582e-06
2026-06-25 03:57:00+00:00,1.5164227207264958e-08,1.3171392083677349e-06
2026-06-25 03:58:00+00:00,1.4593106278937285e-08,1.2953209989063907e-06
2026-06-25 03:59:00+00:00,1.4464245801093512e-08,1.2838158909289632e-06
2026-06-25 04:00:00+00:00,1.4993135621921283e-08,1.2818125014746329e-06
2026-06-25 04:01:00+00:00,1.4271368975471432e-08,1.2589605375978865e-06
2026-06-25 04:02:00+00:00,1.1826741364018291e-08,1.2428350828486143e-06
2026-06-25 04:03:00+00:00,1.2745925204171726e-08,1.2346586117928382e-06
2026-06-25 04:04:00+00:00,1.1832018032009728e-08,1.2180393014205038e-06
2026-06-25 04:05:00+00:00,1.059594900709726e-08,1.2011694252578309e-06
2026-06-25 04:06:00+00:00,1.0663248950493198e-08,1.1840428442155826e-06
2026-06-25 04:07:00+00:00,8.150164099163248e-09,1.1688276799759478e-06
2026-06-25 04:08:00+00:00,9.696652369939331e-09,1.1627520279944292e-06
2026-06-25 04:09:00+00:00,9.929828514998462e-09,1.1624739499893622e-06
2026-06-25 04:10:00+00:00,7.912948518651321e-09,1.1603946177274338e-06
2026-06-25 04:11:00+00:00,8.02813193701013e-09,1.1510704780448575e-06
2026-06-25 04:12:00+00:00,7.438866855835613e-09,1.1502563665999332e-06
2026-06-25 04:13:00+00:00,8.683251451202523e-09,1.1422265515648178e-06
2026-06-25 04:14:00+00:00,7.666854706656068e-09,1.129435531765921e-06
2026-06-25 04:15:00+00:00,7.689048509007534e-09,1.1178376553289129e-06
2026-06-25 04:16:00+00:00,7.623652820143434e-09,1.1130046004836911e-06
2026-06-25 04:17:00+00:00,8.046097121905404e-09,1.107420871448994e-06
2026-06-25 04:18:00+00:00,7.923511624596813e-09,1.097769654734293e-06
2026-06-25 04:19:00+00:00,5.819698056797051e-09,1.075587192644889e-06
2026-06-25 04:20:00+00:00,5.52668710795956e-09,1.0629843245624215e-06
2026-06-25 04:21:00+00:00,6.228029647559197e-09,1.0606680689306811e-06
2026-06-25 04:22:00+00:00,6.424256238091175e-09,1.0476347824805998e-06
