 nT
YEAR DOY HR  1    2     3     4     5        6     7     8     9  10   11   12 
2024   1  0 51   5.3   4.0  -2.8  -1.3   31114.   7.4  306.  1.35  7     0   20
2024   1  1 51   5.4   4.4  -1.7  -2.3   28455.   6.5  301.  1.14  7     2   25
2024   1  2 51   4.5   2.5  -1.3  -3.1   36413.   7.9  309.  1.43  7     4   32
2024   1  3 51   4.2   3.3  -1.8  -1.1   32023.   8.9  306.  1.60  3     5   29
2024   1  4 51   4.2   3.6  -1.0  -1.7   33006.   9.1  307.  1.63  3     3   33
2024   1  5 51   4.4   2.4   0.2  -2.7   31429.   8.7  309.  1.58  3     2   43
2024   1  6 51   4.2  -2.1   0.0  -3.5   27442.  11.2  325.  2.25  7     3   92
2024   1  7 51   4.4  -2.9  -0.0  -3.2   26233.  12.8  331.  2.72  7     2  109
2024   1  8 51   4.5  -2.6  -0.2  -3.6   21956.  14.2  329.  2.98  7     1  100
2024   1  9 51   4.9  -2.3  -1.4  -3.8   23928.  15.9  330.  3.32 13     3  156
2024   1 10 51   5.7  -1.7  -3.8  -3.6   31844.  17.0  331.  3.51 13     2  221
2024   1 11 51   7.6   0.6  -6.0  -3.1   32473.  11.7  326.  2.50 13    -4  219
2024   1 12 51   7.7   1.9  -7.2  -1.4   45667.   7.9  316.  1.64 20    -3  329
2024   1 13 51   7.3   4.3  -5.5   0.9   75045.   7.2  330.  1.62 20     0   90
2024   1 14 51   4.4  -0.3  -1.2  -2.9  109426.  13.0  351.  3.26 20     6   63
2024   1 15 51   8.0  -4.5   1.7  -6.2   59659.  11.7  350.  2.96 30    -1   99
2024   1 16 51   8.9  -2.6  -2.4  -7.7   85439.  11.2  348.  2.75 30   -11  377
2024   1 17 51  10.5  -1.3  -8.1  -6.4   97396.  10.0  350.  2.34 30   -24  502
2024   1 18 51  10.3   0.1  -9.2  -3.8   96443.  11.2  351.  2.65 33   -27  562
2024   1 19 51  10.3   1.9  -9.8   0.9  106509.  11.8  351.  2.86 33   -21  348
2024   1 20 51  10.5   1.1  -9.8  -1.2   83576.  12.4  343.  2.93 33   -16  119
2024   1 21 51  10.1  -1.2  -6.7  -5.8   72680.  15.2  346.  3.79 40    -9  195
2024   1 22 51  10.4  -1.3  -4.5  -4.6   74355.  15.1  350.  3.74 40   -10  499
2024   1 23 51   9.2  -3.1  -0.9  -4.4   92328.  15.3  351.  3.76 40    -7  128
2024   2  0 51   6.2  -3.2   2.1  -3.9  122396.  14.1  344.  3.41 27    -5  115
2024   2  1 51   9.0  -0.3  -1.2  -5.2  120868.  10.9  364.  2.92 27    -5  128
2024   2  2 51  11.2   2.3  -4.1  -2.1  110224.   6.8  380.  1.95 27   -13  249
2024   2  3 51  10.6   6.5  -7.5   1.6  164219.   6.2  397.  2.00 23   -17  185
2024   2  4 51   9.3   5.0  -6.5   2.2  219491.   8.4  400.  2.77 23   -13  127
2024   2  5 51   8.8   5.6  -4.9   3.0  195607.   8.5  398.  2.67 23   -13   60
2024   2  6 51   8.4   6.9  -3.8   1.6  172616.   8.1  391.  2.36  7   -14   51
2024   2  7 51   7.5   5.0  -2.5   2.4  168920.   7.3  392.  2.20  7   -13   50
2024   2  8 51   7.5   3.5  -2.3   4.6  150198.   6.6  393.  2.00  7    -9   50
2024   2  9 51   7.7   5.1  -2.7   4.3  149498.   6.4  383.  1.89 20    -5   55
2024   2 10 51   6.4   4.1  -0.9   1.7  163738.   6.9  390.  2.21 20    -3   56
2024   2 11 51   6.9   5.4   1.6  -0.9  135860.   6.9  394.  2.18 20    -6  126
2024   2 12 51   7.2   6.2  -1.7  -1.1  138585.   7.1  383.  2.10 23    -6  244
2024   2 13 51   6.7   4.8   0.9  -2.9  123024.   7.7  390.  2.24 23    -6  136
2024   2 14 51   6.9   3.2  -1.3  -3.3  118386.   6.5  382.  1.86 23    -9  307
2024   2 15 51   6.4   4.2   1.5  -3.7  113106.   7.5  384.  2.09 27   -14  452
2024   2 16 51   6.7   4.9   2.8  -0.8  119113.   7.6  379.  2.11 27   -17  152
2024   2 17 51   7.2   3.6  -2.9   1.8  118303.   6.9  386.  2.00 27   -14  110
2024   2 18 51   8.8  -0.8  -7.5  -1.2   95261.   6.5  416.  2.14 20   -14  102
2024   2 19 51   8.1   1.9  -7.3  -0.1  108527.   6.3  394.  1.89 20   -17  232
2024   2 20 51   7.6   4.1  -1.5   2.2  115671.   6.3  395.  1.94 20   -14  212
2024   2 21 51   7.1   2.7  -5.8   0.5  120346.   6.3  398.  1.97  7    -9   62
2024   2 22 51   7.3   5.5  -0.5   3.4   77076.   5.5  385.  1.56  7    -8   33
2024   2 23 51   7.2   6.1  -2.4   2.4   61647.   4.7  380.  1.29  7    -8   35
2024   3  0 51   7.1   3.1  -5.8  -1.9   67360.   5.9  382.  1.66 27    -8   89
2024   3  1 51   6.5   0.0  -4.5  -2.3   61176.   6.4  390.  1.89 27    -7  100
2024   3  2 51   6.3   4.4  -4.2  -0.6   62915.   6.5  370.  1.75 27    -3  167
2024   3  3 51   6.6   1.3  -5.0  -2.9   66744.   6.4  379.  1.77 27     1   70
2024   3  4 51   7.0   2.7  -6.2  -0.5   63320.   5.0  387.  1.42 27    -2   69
2024   3  5 51   7.3   4.2  -4.8   2.4   94037.   5.7  393.  1.71 27     2   67
2024   3  6 51  11.0   6.5  -1.4   7.7  150310.  10.7  438.  4.31 10    11   47
2024   3  7 51   9.7   5.0  -1.1   4.5  181575.  10.9  444.  4.36 10     7   37
2024   3  8 51   8.6   4.2  -6.9  -1.8  194906.   9.9  440.  3.94 10     3   69
2024   3  9 51   7.2   4.9  -1.9  -2.8  186132.   9.4  430.  3.45 17    -1   86
2024   3 10 51   5.8   4.8  -0.6   0.2  178662.   8.4  421.  2.89 17    -4  420
2024   3 11 51   6.2   4.7  -0.4  -2.3  140473.   6.7  410.  2.24 17    -2  350
2024   3 12 51   6.0   5.0  -0.0  -1.8  127381.   6.0  403.  1.98 17    -3  159
2024   3 13 51   5.7   5.1   0.4  -1.3  127372.   4.9  405.  1.63 17    -5   68
2024   3 14 51   5.2   5.1  -0.3   0.3  122692.   4.3  397.  1.37 17    -5   75
2024   3 15 51   7.2   5.1  -1.3   3.4  151391.   6.6  427.  2.52 27     3  100
2024   3 16 51   7.0   1.3   0.2   1.7  240563.  10.4  466.  4.57 27     7  155
2024   3 17 51   6.4   4.2   0.2   0.4  257585.   9.3  462.  3.89 27    -3  153
2024   3 18 51   7.0   4.7  -3.7  -0.6  207690.   8.6  454.  3.46 33    -6  286
2024   3 19 51   7.5   0.1  -4.1  -5.7  183077.   7.6  479.  3.25 33    -6  499
2024   3 20 51   8.7  -0.6  -6.8  -5.1  130938.   6.9  483.  3.00 33   -15  569
2024   3 21 51   8.6   1.4  -7.2  -2.5  117397.   6.5  464.  2.58 30   -19  608
2024   3 22 51   8.3   3.5  -6.3   3.3  112010.   5.8  456.  2.22 30   -22  196
2024   3 23 51   8.8   4.3  -5.9   4.5   86661.   4.8  453.  1.84 30   -19   48
2024   4  0 51   8.6   4.6  -5.7   4.0   73595.   3.4  448.  1.27 13   -18   31
2024   4  1 51   7.7   2.7  -6.9   1.4   98081.   3.4  458.  1.34 13   -15   64
2024   4  2 51   7.3   2.7  -6.4   1.8  105834.   3.3  453.  1.27 13   -14   62
2024   4  3 51   7.0   2.4  -6.3   0.8   95202.   3.4  451.  1.31  7   -11   48
2024   4  4 51   6.7   2.1  -5.5   3.0   72987.   3.2  446.  1.22  7   -11   33
2024   4  5 51   6.2   1.6  -5.4   2.0   79797.   3.6  446.  1.39  7   -11   39
2024   4  6 51   5.9   2.2  -4.9   1.8   80501.   3.5  439.  1.32 17    -8   55
2024   4  7 51   5.5   3.5  -3.7   1.2   74399.   4.1  429.  1.49 17    -4   60
2024   4  8 51   5.2   2.0  -4.2   1.5   78020.   4.4  433.  1.64 17    -4   48
2024   4  9 51   5.0   2.6  -3.9   0.2   70830.   4.5  428.  1.60  7    -2   46
2024   4 10 51   4.7   3.5  -2.0   1.8   63676.   4.6  424.  1.61  7     2   79
2024   4 11 51   4.3   3.9  -1.0   0.9   62588.   4.7  421.  1.62  7     1   37
2024   4 12 51   4.1   3.6  -0.2   1.0   61292.   4.5  420.  1.53  7    -2   30
2024   4 13 51   3.9   3.6   0.2   1.2   60723.   4.2  417.  1.41  7    -4   42
2024   4 14 51   3.5  -1.3  -2.4  -1.2   51195.   3.4  440.  1.30  7    -9   54
2024   4 15 51   3.7  -0.6  -3.0  -1.5   41619.   3.6  430.  1.32 13   -15  140
2024   4 16 51   3.6  -0.3  -2.7  -0.6   43768.   3.5  428.  1.27 13   -14  258
2024   4 17 51   3.5   0.7  -2.0  -1.6   45422.   3.4  418.  1.19 13   -13  119
2024   4 18 51   3.6   1.8  -0.5  -2.8   46651.   3.2  412.  1.07 10   -15  160
2024   4 19 51   3.7   2.6   0.9  -2.4   41667.   3.0  403.  0.96 10   -17  149
2024   4 20 51   3.6   1.4   0.5  -2.9   41307.   3.1  410.  1.03 10   -16  160
2024   4 21 51   3.4   2.8   0.7  -1.7   42419.   3.1  400.  0.99 27   -15  282
2024   4 22 51   3.5   1.9   0.8  -2.2   42219.   3.3  407.  1.09 27   -15  202
2024   4 23 51   3.5   1.1  -0.5  -2.0   42402.   3.1  408.  1.04 27   -12  240
2024   5  0 51   3.5   1.1   0.9  -1.9   45858.   3.2  413.  1.10 20   -10  143
2024   5  1 51   3.7   0.4   1.6  -2.8   42906.   3.2  418.  1.12 20   -12  191
2024   5  2 51   3.7   0.7   0.4  -3.0   46087.   3.2  411.  1.09 20   -15  181
2024   5  3 51   3.8   2.9   1.2  -1.5   45060.   2.9  395.  0.93 17   -17  142
2024   5  4 51   3.7   3.4   0.5  -0.7   41476.   2.4  382.  0.72 17   -18   80
2024   5  5 51   3.7   3.4   0.4   0.2   38386.   2.4  383.  0.72 17   -18   60
2024   5  6 51   3.7   3.4   0.6  -0.4   46359.   2.6  388.  0.81  3   -20   60
2024   5  7 51   3.8   3.6   0.0   0.3   45154.   2.6  386.  0.78  3   -20   57
2024   5  8 51   3.6   3.2   1.1   0.3   54319.   3.2  391.  1.00  3   -16   63
2024   5  9 51   3.6   2.1  -0.0  -0.8   59498.   3.3  399.  1.06 10   -11   84
2024   5 10 51   3.3   2.0   0.6   0.7   64493.   3.4  396.  1.07 10    -5  141
2024   5 11 51   2.8   2.2  -0.5  -0.3   71864.   3.3  391.  1.02 10    -4  138
2024   5 12 51   2.5   1.3   0.6  -0.6   76839.   3.3  399.  1.04 13    -5  160
2024   5 13 51   3.2   1.3   0.8  -2.4   71378.   3.1  398.  0.97 13    -7  128
2024   5 14 51   3.0   0.3  -0.2  -2.4   75400.   3.2  403.  1.02 13    -8  149
2024   5 15 51   3.3  -1.9   0.5  -2.4   67642.   3.4  413.  1.13 17   -11  391
2024   5 16 51   3.1  -1.6  -0.7  -2.0   68713.   3.1  405.  0.99 17   -14  231
2024   5 17 51   2.9   2.0  -0.1  -0.9   76960.   3.0  393.  0.92 17   -16   90
2024   5 18 51   2.9   0.8  -0.6   0.4   74065.   2.9  397.  0.89  3   -12   90
2024   5 19 51   3.1   1.1  -0.1   0.4   65414.   3.0  391.  0.87  3    -9   59
2024   5 20 51   3.4   2.5   1.6   1.3   69150.   2.8  380.  0.79  3    -9   47
2024   5 21 51   3.4   2.0   0.9   1.4   76780.   2.7  381.  0.77  3    -7   51
2024   5 22 51   3.3   1.6   2.2  -1.0   80159.   2.7  381.  0.77  3   -10   69
2024   5 23 51   3.2   2.3   1.7  -0.0   74232.   2.7  369.  0.73  3   -10   65
2024   6  0 51   3.3   2.4   0.5  -2.0   69096.   2.6  366.  0.69  3    -8   71
2024   6  1 51   3.0   2.2   0.6  -1.8   62348.   2.5  370.  0.66  3   -10   52
2024   6  2 51   3.0   0.8  -1.3  -2.1   66109.   2.7  377.  0.73  3   -12   68
